hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",0,15,2018,June,26,22,0,1,1,0.0,0,BB,NLD,Offline TA/TO,GDS,0,0,0,A,A,0,No Deposit,195.0,,0,Transient,136.0,0,0,Check-Out,2018-06-23,34058
"W New York – Times Square New York, NY",1,0,2018,September,37,4,2,0,3,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,F,0,No Deposit,14.0,,0,Transient,187.5,0,0,No-Show,2018-09-04,34059
"Albuquerque Airport Courtyard Albuquerque, NM",1,259,2019,July,27,2,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,151.33,0,0,Canceled,2018-10-16,34060
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",0,107,2019,January,1,6,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,102.6,0,0,Check-Out,2019-01-09,34061
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,59,2018,February,6,6,2,2,2,0.0,0,BB,AUT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2018-02-10,34062
"Fort Worth University Drive Courtyard Fort Worth, TX",0,1,2019,May,21,23,0,2,0,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,K,2,No Deposit,,,0,Transient,0.0,1,0,Check-Out,2019-05-25,34063
"Waves, Barbados Barbados",0,23,2019,July,30,29,2,5,3,0.0,0,HB,PRT,Direct,Direct,1,0,1,A,A,0,No Deposit,,,0,Transient,274.0,0,3,Check-Out,2019-08-05,34064
"The Ritz-Carlton, Tokyo Tokyo, Japan",1,100,2018,July,28,3,2,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.3,0,0,Canceled,2018-03-25,34065
"Sheraton Lima Hotel & Convention Center Lima, Peru",1,100,2018,July,29,16,2,1,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.5,0,1,Canceled,2018-07-05,34066
"Sacramento Airport Natomas Courtyard Sacramento, CA",0,35,2017,August,33,10,1,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,147.07,0,1,Check-Out,2017-08-16,34067
"Waves, Barbados Barbados",0,192,2018,June,26,24,0,2,1,0.0,0,BB,HUN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,34.0,,0,Transient-Party,95.0,0,0,Check-Out,2018-06-26,34068
"Renaissance Hamburg Hotel Hamburg, Germany",1,24,2018,September,40,26,1,1,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0,Canceled,2018-09-03,34069
"The Ritz-Carlton, Tokyo Tokyo, Japan",0,169,2018,March,14,31,0,0,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,I,2,No Deposit,,223.0,0,Transient-Party,0.0,0,0,Check-Out,2018-03-31,34070
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",0,248,2019,May,18,3,1,4,2,0.0,1,BB,BRA,Online TA,TA/TO,0,0,0,A,C,2,No Deposit,242.0,,0,Transient,61.0,1,1,Check-Out,2019-05-08,34071
"Tamarind, Barbados Barbados",0,309,2019,May,21,25,2,5,2,1.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,D,2,No Deposit,40.0,,0,Contract,82.88,0,0,Check-Out,2019-06-01,34072
"Orlando Airport Courtyard Orlando, FL",1,8,2018,January,3,12,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,43.0,0,0,No-Show,2018-01-12,34073
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,35,2017,November,45,6,2,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,2017-11-15,34074
"San Diego Sorrento Valley Courtyard San Diego, CA",1,34,2019,August,32,8,0,4,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,216.0,0,0,Canceled,2019-07-10,34075
"Indianapolis Airport Courtyard Indianapolis, IN",0,133,2019,April,16,19,0,4,2,0.0,0,BB,ISL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,390.0,,0,Transient-Party,124.0,0,0,Check-Out,2019-04-23,34076
"Crystal Cove, Barbados Barbados",0,479,2019,August,32,9,0,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,112.67,0,1,Check-Out,2019-08-12,34077
"W London – Leicester Square London, United Kingdom",1,32,2019,February,6,6,1,4,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,100.3,0,1,Canceled,2019-01-09,34078
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",1,173,2019,August,33,18,2,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,200.0,0,1,Canceled,2019-02-28,34079
"Frankfurt Marriott Hotel Frankfurt, Germany",0,24,2018,November,47,18,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,1,Check-Out,2018-11-20,34080
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",0,132,2017,July,30,23,0,1,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,65.0,0,0,Check-Out,2017-07-24,34081
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",0,26,2017,October,41,4,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,68.43,0,1,Check-Out,2017-10-11,34082
"Chicago O'Hare Courtyard Des Plaines, IL",0,45,2017,December,51,18,2,2,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,F,1,No Deposit,8.0,,0,Transient,47.0,1,1,Check-Out,2017-12-22,34083
"Albuquerque Airport Courtyard Albuquerque, NM",0,4,2019,April,14,3,1,0,1,0.0,0,BB,,Corporate,Corporate,0,0,1,A,A,0,No Deposit,,154.0,0,Transient,48.0,0,0,Check-Out,2019-04-04,34084
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",0,175,2018,July,28,7,4,10,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,103.2,0,1,Check-Out,2018-07-21,34085
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",1,20,2019,February,7,13,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,48.0,0,0,Canceled,2019-02-01,34086
"Renaissance New York Times Square Hotel New York, NY",0,0,2017,December,50,12,0,1,2,1.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,37.25,0,1,Check-Out,2017-12-13,34087
"Anaheim Marriott Anaheim, CA",1,0,2017,October,43,20,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,G,1,No Deposit,87.0,,0,Transient,123.0,0,0,No-Show,2017-10-20,34088
"Indianapolis Airport Courtyard Indianapolis, IN",0,10,2018,March,12,19,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient-Party,103.0,0,0,Check-Out,2018-03-21,34089
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,156,2019,May,19,8,2,5,2,0.0,0,HB,IRL,Groups,TA/TO,0,0,0,A,A,3,No Deposit,434.0,,0,Transient-Party,81.71,0,1,Check-Out,2019-05-15,34090
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",0,1,2017,November,48,24,0,0,2,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,D,D,0,No Deposit,240.0,,0,Transient,0.0,0,1,Check-Out,2017-11-24,34091
"W New York – Union Square New York, NY",0,51,2018,November,47,16,0,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2018-11-20,34092
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",1,315,2018,December,49,2,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,52.0,0,0,Canceled,2018-03-15,34093
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,44,2017,September,38,17,0,2,1,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,85.5,0,1,Check-Out,2017-09-19,34094
"Sheraton Diana Majestic, Milan Milan, Italy",0,71,2018,March,12,18,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,1,Check-Out,2018-03-22,34095
"The St. Regis Osaka Osaka, Japan",0,9,2018,December,51,11,2,0,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241.0,,0,Transient,35.12,0,2,Check-Out,2018-12-13,34096
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",1,301,2017,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2017-07-06,34097
"Frankfurt Marriott Hotel Frankfurt, Germany",0,40,2018,January,4,22,1,2,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,73.9,0,1,Check-Out,2018-01-25,34098
"Louisville East Courtyard Louisville, KY",0,132,2018,May,19,6,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,105.3,0,0,Check-Out,2018-05-08,34099
"Treasure Beach, Barbados Barbados",0,0,2017,August,33,11,0,1,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,0,Check-Out,2017-08-12,34100
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,151,2018,January,4,19,0,3,1,0.0,0,BB,RUS,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,19.0,,63,Transient-Party,71.0,0,0,Check-Out,2018-01-22,34101
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,4,2019,January,2,10,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,10,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2019-01-13,34102
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",0,132,2018,July,30,18,1,3,2,1.0,0,BB,CHE,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,224.5,1,2,Check-Out,2018-07-22,34103
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,174,2019,May,19,9,0,2,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,2,Check-Out,2019-05-11,34104
"The House, Barbados Barbados",0,18,2018,April,16,13,0,1,2,0.0,0,BB,CHE,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,230.0,0,Transient-Party,129.0,0,0,Check-Out,2018-04-14,34105
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",0,316,2018,May,22,26,0,3,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,110.0,0,0,Check-Out,2018-05-29,34106
"Tamarind, Barbados Barbados",1,114,2018,July,27,1,1,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,192.0,,0,Transient,75.0,0,0,Canceled,2018-03-29,34107
"The House, Barbados Barbados",1,261,2018,November,47,15,0,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.25,0,1,Canceled,2018-09-12,34108
"Turtle Beach, Barbados Barbados",0,1,2019,February,5,2,0,1,1,0.0,0,BB,PRT,Direct,Direct,1,1,6,E,E,1,No Deposit,,,0,Transient,110.0,0,0,Check-Out,2019-02-03,34109
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,8,2017,October,40,1,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,92.4,0,0,Check-Out,2017-10-02,34110
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,25,2018,October,43,21,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,75.0,0,1,Check-Out,2018-10-23,34111
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",0,141,2019,March,12,25,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,42.0,0,2,Check-Out,2019-03-29,34112
"Frankfurt Marriott Hotel Frankfurt, Germany",0,4,2018,December,53,28,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.0,0,1,Check-Out,2019-01-02,34113
"Treasure Beach, Barbados Barbados",0,57,2019,March,11,16,0,3,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2019-03-19,34114
"Albuquerque Airport Courtyard Albuquerque, NM",1,22,2017,August,33,12,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,211.0,0,3,Canceled,2017-08-03,34115
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",1,31,2018,September,39,18,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,156.42,0,1,Canceled,2018-09-13,34116
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,190,2019,August,32,12,2,3,2,3.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,8.0,,0,Transient,326.5,0,2,Check-Out,2019-08-17,34117
"Courtyard Las Vegas Convention Center Las Vegas, NV ",1,57,2018,May,23,31,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,120.0,0,0,Canceled,2018-05-27,34118
"Berlin Marriott Hotel Berlin, Germany",0,15,2018,February,8,18,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient-Party,86.0,0,0,Check-Out,2018-02-21,34119
"Greensboro Courtyard Greensboro, NC",0,25,2018,March,11,11,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.0,0,1,Check-Out,2018-03-15,34120
"W London – Leicester Square London, United Kingdom",0,2,2018,June,25,15,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,D,D,0,No Deposit,,219.0,0,Transient,119.0,1,1,Check-Out,2018-06-16,34121
"W New York – Times Square New York, NY",0,55,2018,September,37,10,1,1,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,168.3,0,1,Check-Out,2018-09-12,34122
"Berlin Marriott Hotel Berlin, Germany",0,119,2018,May,22,23,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,90.0,0,1,Check-Out,2018-05-26,34123
"Orlando International Drive/Convention Center Courtyard Orlando, FL",1,104,2018,May,19,4,0,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,,0,Transient,111.78,0,0,Canceled,2018-04-01,34124
"Mt. Laurel Courtyard Mt. Laurel, NJ",1,464,2019,July,30,25,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2019-06-30,34125
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,79,2019,June,23,5,1,3,2,0.0,0,SC,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,1,Check-Out,2019-06-09,34126
"Greensboro Courtyard Greensboro, NC",0,145,2019,June,23,7,4,10,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,116.11,0,0,Check-Out,2019-06-21,34127
"Waves, Barbados Barbados",0,26,2019,August,35,27,2,2,1,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,197.0,0,3,Check-Out,2019-08-31,34128
"W New York – Union Square New York, NY",0,4,2018,September,38,15,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,159.0,0,2,Check-Out,2018-09-16,34129
"Sheraton Mexico City Maria Isabel Hotel Mexico City, Mexico",0,11,2018,February,8,14,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,87.0,0,0,Check-Out,2018-02-17,34130
"Courtyard by Marriott Toulouse Airport Toulouse, France",1,150,2019,June,24,17,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,120.0,0,0,Canceled,2019-01-18,34131
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",0,44,2018,October,42,10,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,58.0,0,2,Check-Out,2018-10-12,34132
"Tamarind, Barbados Barbados",0,1,2017,September,37,9,0,2,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,68.0,0,Transient-Party,90.0,0,0,Check-Out,2017-09-11,34133
"Indianapolis Airport Courtyard Indianapolis, IN",0,15,2018,February,8,19,0,1,1,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,,67.0,0,Transient-Party,81.0,1,0,Check-Out,2018-02-20,34134
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",0,136,2018,June,24,9,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,,0,Transient,79.2,0,0,Check-Out,2018-06-16,34135
"Frankfurt Marriott Hotel Frankfurt, Germany",0,57,2017,October,41,10,2,1,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,E,1,No Deposit,11.0,,0,Transient,84.69,0,1,Check-Out,2017-10-13,34136
"Sheraton Diana Majestic, Milan Milan, Italy",0,43,2019,February,5,3,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,81.62,0,1,Check-Out,2019-02-05,34137
"Courtyard by Marriott Paris Gare de Lyon Paris, France",1,251,2018,March,13,22,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,93,Transient,90.0,0,0,Canceled,2017-10-16,34138
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,7,2019,April,17,29,2,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,95.0,0,2,Check-Out,2019-05-02,34139
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,14,2019,January,1,6,0,2,2,1.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,2,Check-Out,2019-01-08,34140
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,14,2017,October,43,19,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,92.17,0,1,Check-Out,2017-10-23,34141
"Crystal Cove, Barbados Barbados",1,32,2019,January,1,6,0,2,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1,Canceled,2018-12-22,34142
"Fort Worth University Drive Courtyard Fort Worth, TX",1,131,2019,June,26,26,1,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,0,Canceled,2019-02-15,34143
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",1,20,2019,July,30,26,2,5,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,245.0,0,2,Canceled,2019-07-06,34144
"Tamarind, Barbados Barbados",0,14,2017,October,42,14,0,3,1,0.0,0,BB,DNK,Corporate,Corporate,0,0,0,A,A,2,No Deposit,95.0,,0,Transient-Party,95.0,0,0,Check-Out,2017-10-17,34145
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,69,2018,July,27,2,0,1,3,0.0,0,BB,HKG,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.3,0,0,Canceled,2018-05-30,34146
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,8,2018,December,49,1,0,3,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,116.33,0,1,Check-Out,2018-12-04,34147
"Las Vegas Marriott Las Vegas, NV ",1,148,2018,August,34,16,2,5,2,0.0,0,BB,SVN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,119.69,0,0,Canceled,2018-03-28,34148
"Sheraton Mexico City Maria Isabel Hotel Mexico City, Mexico",0,220,2018,August,36,31,0,2,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,137.7,1,1,Check-Out,2018-09-02,34149
"Fort Worth University Drive Courtyard Fort Worth, TX",1,148,2017,December,53,31,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,98,Transient,77.5,0,0,Canceled,2017-11-11,34150
"Greensboro Courtyard Greensboro, NC",1,277,2018,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2018-04-04,34151
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,168,2017,September,37,11,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,B,1,No Deposit,1.0,,0,Transient-Party,50.0,0,0,Check-Out,2017-09-13,34152
"Heidelberg Marriott Hotel Heidelberg, Germany",0,155,2019,August,33,17,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,80.1,0,2,Check-Out,2019-08-20,34153
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",0,221,2018,August,34,18,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,94.5,1,3,Check-Out,2018-08-20,34154
"Crystal Cove, Barbados Barbados",0,7,2017,September,37,7,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,111.33,0,0,Check-Out,2017-09-10,34155
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",0,78,2018,April,16,11,1,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,128.7,0,2,Check-Out,2018-04-14,34156
"St. Louis Downtown West Courtyard St. Louis, MO",0,78,2018,April,18,28,2,3,2,0.0,0,BB,GRC,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,103.87,0,1,Check-Out,2018-05-03,34157
"Louisville East Courtyard Louisville, KY",0,138,2017,August,34,22,2,1,3,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,17.0,,0,Transient-Party,138.5,0,1,Check-Out,2017-08-25,34158
"Anaheim Marriott Anaheim, CA",0,2,2018,August,32,2,0,1,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,,0,Transient-Party,102.7,0,0,Check-Out,2018-08-03,34159
"Sacramento Airport Natomas Courtyard Sacramento, CA",0,155,2018,July,28,6,2,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,2,No Deposit,14.0,,0,Transient-Party,97.75,0,1,Check-Out,2018-07-12,34160
"Marriott Puerto Vallarta Resort & Spa Puerto Vallarta, Mexico",0,196,2018,July,31,24,2,5,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,158.95,0,0,Check-Out,2018-07-31,34161
"Protea Hotel by Marriott Midrand Midrand, South Africa",0,102,2017,October,42,16,0,2,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,87.0,0,0,Check-Out,2017-10-18,34162
"Protea Hotel by Marriott Midrand Midrand, South Africa",1,457,2018,October,43,21,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,391,Transient,65.0,0,0,Canceled,2018-09-20,34163
"Protea Hotel Fire & Ice! by Marriott Johannesburg Melrose Arch Johannesburg, South Africa",0,60,2018,November,47,18,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,1,Check-Out,2018-11-21,34164
"The Ritz-Carlton, Tokyo Tokyo, Japan",1,280,2018,September,39,19,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,35,Transient,110.0,0,0,Canceled,2018-01-18,34165
"Baltimore BWI Airport Courtyard Linthicum, MD",0,18,2018,April,16,10,2,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,85.0,0,1,Check-Out,2018-04-12,34166
"Sacramento Airport Natomas Courtyard Sacramento, CA",1,169,2019,July,28,14,2,5,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,151.43,0,1,Canceled,2019-02-11,34167
"Renaissance Hamburg Hotel Hamburg, Germany",1,325,2018,October,43,17,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,58.0,,0,Transient,95.0,0,0,Canceled,2018-01-06,34168
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",0,111,2018,April,17,18,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,76.97,0,0,Check-Out,2018-04-23,34169
